City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
492,sioux lookout,50.1001,-91.917,-15.96,78,100,6.69,CA,1670101174
493,dudinka,69.4058,86.1778,-25.7,100,100,2.35,RU,1670101206
494,tazovskiy,67.4667,78.7,-23.95,98,53,2.83,RU,1670101207
495,kloulklubed,7.0419,134.2556,25.28,76,89,6.6,PW,1670101207
496,ketchikan,55.3422,-131.6461,-1.79,40,8,1.53,US,1670101208
497,tiznit,29.5833,-9.5,13.71,78,1,0.57,MA,1670101209
498,baiao,-2.7906,-49.6717,24.19,94,100,0.83,BR,1670101209
499,samarai,-10.6167,150.6667,26.16,79,100,1.91,PG,1670101210
500,mogadishu,2.0371,45.3438,26.74,80,56,6.49,SO,1670101211
501,zhangye,38.9342,100.4517,-8.22,68,100,1.56,CN,1670101211
502,bahir dar,11.5936,37.3908,17.12,51,24,1.41,ET,1670101212
503,saint-paul,-21.0096,55.2707,25.06,82,24,0.93,RE,1670101213
504,el alto,-4.2714,-81.2147,21.59,71,17,9.91,PE,1670101213
505,hamilton,39.1834,-84.5333,7.75,52,1,3.58,US,1670101214
506,saint-denis,48.9167,2.3333,3.38,85,100,6.17,FR,1670101215
507,herran,7.5061,-72.4833,15.9,96,90,1.28,CO,1670101276
508,tezu,27.9167,96.1667,16.15,40,0,1.96,IN,1670101277
509,araouane,18.9048,-3.5265,25.91,16,67,4.14,ML,1670101280
510,christchurch,-43.5333,172.6333,19.15,72,75,2.57,NZ,1670101180
511,coquimbo,-29.9533,-71.3436,17.93,75,14,3.12,CL,1670101281
512,mayor pablo lagerenza,-19.9309,-60.7718,33.18,30,98,2.11,PY,1670101282
513,bara,10.3744,10.7288,25.25,28,18,2.62,NG,1670101282
514,dali,25.7,100.1833,6.23,71,0,1.86,CN,1670101283
515,havre,49.5833,0.3333,1.86,93,100,4.63,FR,1670101284
516,sur,22.5667,59.5289,23.32,63,0,2.92,OM,1670101284
517,awjilah,29.1081,21.2869,15.75,38,17,3.77,LY,1670101285
518,mareeba,-17.0,145.4333,21.4,92,6,0.94,AU,1670101285
519,inta,66.0317,60.1659,-11.33,95,100,6.16,RU,1670101286
520,tiarei,-17.5333,-149.3333,29.01,82,76,8.47,PF,1670101287
521,new iberia,30.0035,-91.8187,26.65,65,97,2.42,US,1670101080
522,beloha,-25.1667,45.05,23.26,75,82,2.64,MG,1670101287
523,saint anthony,45.0205,-93.218,-9.31,64,0,4.63,US,1670101288
524,anda,46.4,125.3167,-20.97,88,3,3.3,CN,1670101288
525,mehamn,71.0357,27.8492,-4.05,86,34,5.14,NO,1670101289
526,marsh harbour,26.5412,-77.0636,24.68,59,13,8.19,BS,1670101289
527,doctor phillips,28.4495,-81.4923,27.25,58,16,1.34,US,1670101290
